day,date,gpp_avg,nee,hetero_resp,auto_resp,cleaf,croot,cstem,cgrain,lai_alloc,litter_cleaf,litter_croot,soc_total,wliq,psi,et_total,cstate_a,cstate_w,cstate_e,cstate_n,cstate_h
79,2026-03-20,1.3226355449313442e-08,-2.395596098189559e-10,1.09994627124189e-08,1.9873331270755874e-09,0.0055272141718325325,0.004180723144211652,0.0,0.0,0.1316003374245841,4.3718423761770497e-05,4.407611258764694e-06,15.981414959468928,0.6307728179979111,-0.0001455610354924387,1.1509086576432006,1.8012872480108773,0.1957079019419269,0.1072978863617098,4.768591407701248,9.108530515453166
80,2026-03-21,1.260494686324219e-08,1.0988514925172707e-10,1.0832384416190167e-08,1.88244759630375e-09,0.006022212327410565,0.004558855967569905,0.0,0.0,0.14338600779548963,4.8410653913155794e-05,4.882303814039914e-06,15.980532334413097,0.6271005650351913,-0.00015906004805446198,0.9002530422912282,1.801714433767246,0.1955010440258446,0.10726250490555786,4.767538813171242,9.108515538543205
81,2026-03-22,1.2980698882558944e-08,-2.131589557614637e-10,1.0826683131933063e-08,1.940856794864418e-09,0.006528705975423274,0.0049475806732081065,0.0,0.0,0.15544538036722083,5.324932249384453e-05,5.374680232051265e-06,15.979655532993222,0.6237359802269724,-0.00017192820305573253,0.8772425719300602,1.8021488259155012,0.19529931973692188,0.1072273434037464,4.766479824062093,9.10850021987496
82,2026-03-23,1.1235058173796011e-08,1.3008236916130201e-09,1.0843005293692713e-08,1.6928765717163186e-09,0.006954897076147272,0.00528159060079847,0.0,0.0,0.16559278752731604,5.8347844247622273e-05,5.895617857701156e-06,15.978782940797952,0.6208017345523714,-0.00018356328810859864,0.7801788069384712,1.8025910652557875,0.1951023146192139,0.10719233627393207,4.765412655412854,9.108484569236165
83,2026-03-24,1.2875274103364096e-08,-3.201427595659291e-10,1.0619395287204584e-08,1.935736056593583e-09,0.0074479550657867615,0.005665273019259673,0.0,0.0,0.17733226347111336,6.214340271782837e-05,6.292276422451093e-06,15.97793386072428,0.6180301575916086,-0.0001949246371057534,0.9583206939130705,1.803031330624495,0.19491440266346016,0.10715828062049286,4.764361437947889,9.108468408867942
84,2026-03-25,4.851851370663048e-09,7.077651056378489e-09,1.1151711720254585e-08,7.777907067869525e-10,0.007589127494503786,0.005800934178176042,0.0,0.0,0.1806935117738997,6.824396763380639e-05,6.921286091695708e-06,15.977045518085374,0.6188188705217103,-0.00019165380399712367,0.6163020480876056,1.8034921693528436,0.19472096222072352,0.10712257679970102,4.763257194214208,9.108452615497898
85,2026-03-26,1.2068409172403884e-08,1.6449367200789033e-09,1.1868716858121676e-08,1.8446290343611105e-09,0.008036051717370502,0.006157690536966548,0.0,0.0,0.1913345646992977,7.228679919300543e-05,7.367223076668427e-06,15.976099714971102,0.6159693900156157,-0.0002036161095717039,0.9902146930071035,1.8039804351524564,0.19451810898360036,0.10708448406391274,4.762079598512836,9.108437088258297
86,2026-03-27,1.1918545802462962e-08,1.696203529934066e-09,1.1780869594035554e-08,1.833879738361473e-09,0.008471267868152778,0.006508842833052602,0.0,0.0,0.2016968540036376,7.707238783098965e-05,7.874313239049055e-06,15.975166794539248,0.6133491616878812,-0.00021497990183449607,0.8810587216022642,1.8044712651031873,0.19432234850903798,0.1070469034971332,4.760905165407492,9.108421112022397
87,2026-03-28,9.51976774281461e-09,3.0439044749278694e-09,1.1105272777026246e-08,1.458399440716233e-09,0.008803012159463174,0.006785621819115524,0.0,0.0,0.20959552760626607,7.98034197195016e-05,8.175524208477689e-06,15.974295277915239,0.6111527117038765,-0.00022478570606735524,0.6148835805391958,1.8049454118897719,0.19414403071240724,0.1070118426737536,4.75978974382894,9.108404248810366
88,2026-03-29,8.796441373361854e-09,2.8868291691933503e-09,1.0328519520171138e-08,1.3547510223840664e-09,0.00910246985921112,0.007039872381132878,0.0,0.0,0.21672547283836002,8.093545888048272e-05,8.318325678696204e-06,15.973492147613257,0.6090794709881882,-0.00023428445124109537,0.5962178181301881,1.805397095705751,0.1939838346629062,0.10697959507907694,4.758745131714266,9.108386490451256
89,2026-03-30,7.483153244137784e-09,3.432012631372775e-09,9.76691678601779e-09,1.1482490894927695e-09,0.009345471361388965,0.007253392965531058,0.0,0.0,0.22251122289021347,8.232432158257881e-05,8.489310802726469e-06,15.972739099635328,0.6072001523019137,-0.0002431054211604982,0.6221523914455693,1.8058323185027545,0.19383718236116387,0.10694940731300365,4.757752144341044,9.108368047117363
90,2026-03-31,1.4838893098997163e-08,-3.1115107686198376e-09,9.479541528513523e-09,2.2478408018638023e-09,0.00990105547776995,0.007692716261966635,0.0,0.0,0.23573941613737975,8.42417241645225e-05,8.717781491238983e-06,15.97201302675292,0.6041129543662723,-0.00025804733244328017,1.3234211468800745,1.8062610489735607,0.19369879064104398,0.10692032782483094,4.756783759271444,9.108349100042041
91,2026-04-01,7.229792117339621e-09,3.210670805013176e-09,9.315118472127063e-09,1.1253444502257338e-09,0.010125491070821713,0.007896904041471373,0.0,0.0,0.24108312073385035,8.952645230410325e-05,9.274453578035086e-06,15.971307001422812,0.6024609841456064,-0.0002662815825341668,0.48709460943639116,1.806689497679537,0.1935673888746524,0.10689206777767049,4.755828325183618,9.108329721907333
92,2026-04-02,5.72413011697011e-09,4.23600817872449e-09,9.043674855977897e-09,9.164634397167042e-10,0.010282645699538333,0.008054352088593893,0.0,0.0,0.24482489760805556,9.12870488225992e-05,9.492676252954332e-06,15.970626407640331,0.6011825998444139,-0.00027277164166225756,0.40331036488458066,1.807111402407086,0.1934434918547445,0.10686485448377359,4.754896771440543,9.108309887454183
93,2026-04-03,6.8427145906580964e-09,3.550626047843543e-09,9.32202996725033e-09,1.0713106712513108e-09,0.010485899896189494,0.008245487250719585,0.0,0.0,0.249664283242607,9.440077692923563e-05,9.859162930658499e-06,15.969925244191021,0.6044603898335879,-0.0002563370344241223,0.5261887889427658,1.8075453107554043,0.193317651584051,0.10683677997961669,4.753935417905171,9.108290083966777
94,2026-04-04,4.509218088976291e-09,5.936991818196497e-09,9.70739690336408e-09,7.388130038087067e-10,0.010585571829576349,0.008364199268884088,0.0,0.0,0.2520374245137226,9.718920714657194e-05,1.0189840660546672e-05,15.969193904146376,0.6064002615850707,-0.000246922214354033,0.3028683730883914,1.8079894735211586,0.19318796241789565,0.10680743012549984,4.752938258558517,9.108270779523306
95,2026-04-05,7.986332895788742e-09,3.021564306090586e-09,9.78056383326589e-09,1.2273333686134367e-09,0.010835836110169115,0.008589599593530645,0.0,0.0,0.2579960978611694,9.798942897732075e-05,1.0323524931302994e-05,15.96845717638509,0.6101162006586204,-0.00022950456898613157,0.584977114964159,1.8084332576318798,0.19305934470154995,0.10677783649173639,4.751935064393248,9.108251673166677
96,2026-04-06,8.161313100522331e-09,3.405211279730466e-09,1.0311933911300596e-08,1.2545904689522007e-09,0.011090881400010544,0.00881970931606835,0.0,0.0,0.2640686047621558,0.00010091928702411478,1.0666535964409424e-05,15.967677811118143,0.6133110052421523,-0.00021514803703957897,0.5143678319603546,1.8088871821994246,0.19292469542194848,0.10674643502953995,4.750885982536394,9.108233515930836
97,2026-04-07,9.249704890535964e-09,2.6761466714249753e-09,1.0493135174513922e-08,1.4327163874470177e-09,0.011387896411854352,0.009082481266753973,0.0,0.0,0.271140390758437,0.00010451876570617032,1.1082078431287398e-05,15.966886805083202,0.6111922138534018,-0.00022460704063381469,1.007272257311552,1.809348437387847,0.19279059009478408,0.10671453568869285,4.749817872989295,9.108215368922583
98,2026-04-08,1.8329657826216794e-08,-5.063902579695332e-09,1.0542553987738712e-08,2.7232012587827492e-09,0.01207483460394676,0.009623583776273986,0.0,0.0,0.2874960619987324,0.00010878849510926223,1.1568650704616397e-05,15.966096285564475,0.6077715666053686,-0.00024040178829527327,1.4094649867422648,1.8098158859192266,0.1926595832028095,0.10668265052168185,4.7487412842908086,9.108196881629949
99,2026-04-09,1.8797445074766552e-08,-6.205292473695068e-09,9.814028305686819e-09,2.778124295384664e-09,0.012779545924265449,0.010178277710901028,0.0,0.0,0.3042749029587012,0.00011268904511616659,1.197501527669543e-05,15.965373017579257,0.6046311185505135,-0.0002554993052817093,1.3103632656627748,1.810264224874849,0.19254419894536912,0.10665354505785339,4.747733427912275,9.108177620788911
100,2026-04-10,1.9839920021688826e-08,-7.527630661628818e-09,9.344745093497803e-09,2.967544266562205e-09,0.01352125874624819,0.010763978724483706,0.0,0.0,0.3219347320535283,0.00011784505969361396,1.2514369983905935e-05,15.964695991032857,0.601172127108459,-0.00027282524094674046,1.561356896285772,1.8107016104471998,0.19244018108242475,0.10662634889820445,4.7467700732188485,9.108157777386179
101,2026-04-11,2.0700836304457508e-08,-8.220113848081594e-09,9.342765704686216e-09,3.1379567516896984e-09,0.01428864074335198,0.01137443196739577,0.0,0.0,0.34020573198457094,0.0001262019993584986,1.3395553984785794e-05,15.964028373629315,0.5975805474603297,-0.00029163145717663405,1.699606549836785,1.8111457582014407,0.19234091207915816,0.10659953445627879,4.745804584675245,9.108137584217193
102,2026-04-12,2.0946924090701785e-08,-8.249731161110555e-09,9.518949413657425e-09,3.178243515933805e-09,0.015057178096466709,0.011990356202480023,0.0,0.0,0.3585042403920645,0.0001362869663534938,1.4465447107480079e-05,15.963356688813436,0.594372073311021,-0.000309174077013424,1.522893490240621,1.8116030726498888,0.19224416295136512,0.10657254227936762,4.74481979767321,9.108117113259604
103,2026-04-13,1.9578285276979142e-08,-6.860079555923303e-09,9.69781917839136e-09,3.0203865426644787e-09,0.01575376715645457,0.01256198469119258,0.0,0.0,0.3750896942012993,0.00014679840329513753,1.5586498649234974e-05,15.962681182138367,0.5910285744264057,-0.00032824151171837574,1.6674042621652314,1.8120728345601873,0.19215009642425104,0.10654538217754872,4.743816506914182,9.108096362062197
104,2026-04-14,2.3347873505287212e-08,-9.686167272540489e-09,1.0048327281754082e-08,3.6133789509926414e-09,0.01659847238016635,0.013247099494422081,0.0,0.0,0.39520172333729403,0.0001583993739369153,1.6840928612851492e-05,15.961988246963774,0.587608164351856,-0.0003486233380074135,1.728959183436984,1.8125592899230853,0.1920565231598267,0.10651749015513921,4.742779559770005,9.108075383955716
105,2026-04-15,2.3816174802049068e-08,-9.798553659694365e-09,1.0289277901993114e-08,3.7283432403615895e-09,0.01744782590075186,0.013943918560358735,0.0,0.0,0.4154244262083776,0.00017119845634140597,1.8217604066231154e-05,15.961288669413449,0.5841168706677216,-0.00037039214620666406,1.807305536109828,1.813058189688266,0.19196566885970087,0.10648931099226923,4.741721373560406,9.108054126312807
